Time,Follower1_Position_Gain,Follower1_Velocity_Gain,Follower2_Position_Gain,Follower2_Velocity_Gain,Follower3_Position_Gain,Follower3_Velocity_Gain,Follower4_Position_Gain,Follower4_Velocity_Gain,Follower5_Position_Gain,Follower5_Velocity_Gain,Follower6_Position_Gain,Follower6_Velocity_Gain
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000543,10.914482,158.834562,10.914482,158.834562,10.914482,158.834562,10.914482,158.834562,10.914482,158.834562,10.914482,158.834562
0.001087,10.919879,158.991670,10.919879,158.991670,10.919879,158.991670,10.919879,158.991670,10.919879,158.991670,10.919879,158.991670
0.001630,10.925281,159.149012,10.925281,159.149012,10.925281,159.149012,10.925281,159.149012,10.925281,159.149012,10.925281,159.149012
0.002173,10.930688,159.306587,10.930688,159.306587,10.930688,159.306587,10.930688,159.306587,10.930688,159.306587,10.930688,159.306587
0.002614,10.935074,159.434461,10.935074,159.434461,10.935074,159.434461,10.935074,159.434461,10.935074,159.434461,10.935074,159.434461
0.003054,10.939464,159.562490,10.939464,159.562490,10.939464,159.562490,10.939464,159.562490,10.939464,159.562490,10.939464,159.562490
0.003494,10.943857,159.690672,10.943857,159.690672,10.943857,159.690672,10.943857,159.690672,10.943857,159.690672,10.943857,159.690672
0.003935,10.948254,159.819009,10.948254,159.819009,10.948254,159.819009,10.948254,159.819009,10.948254,159.819009,10.948254,159.819009
0.006010,10.969018,160.425797,10.969018,160.425797,10.969018,160.425797,10.969018,160.425797,10.969018,160.425797,10.969018,160.425797
0.008084,10.989861,161.036046,10.989861,161.036046,10.989861,161.036046,10.989861,161.036046,10.989861,161.036046,10.989861,161.036046
0.010159,11.010783,161.649784,11.010783,161.649784,11.010783,161.649784,11.010783,161.649784,11.010783,161.649784,11.010783,161.649784
0.012234,11.031785,162.267038,11.031785,162.267038,11.031785,162.267038,11.031785,162.267038,11.031785,162.267038,11.031785,162.267038
0.015165,11.061589,163.145004,11.061589,163.145004,11.061589,163.145004,11.061589,163.145004,11.061589,163.145004,11.061589,163.145004
0.018096,11.091555,164.030116,11.091555,164.030116,11.091555,164.030116,11.091555,164.030116,11.091555,164.030116,11.091555,164.030116
0.021027,11.121683,164.922451,11.121683,164.922451,11.121683,164.922451,11.121683,164.922451,11.121683,164.922451,11.121683,164.922451
0.023957,11.151976,165.822086,11.151976,165.822086,11.151976,165.822086,11.151976,165.822086,11.151976,165.822086,11.151976,165.822086
0.027174,11.185411,166.817886,11.185411,166.817886,11.185411,166.817886,11.185411,166.817886,11.185411,166.817886,11.185411,166.817886
0.030390,11.219047,167.822683,11.219047,167.822683,11.219047,167.822683,11.219047,167.822683,11.219047,167.822683,11.219047,167.822683
0.033607,11.252886,168.836585,11.252886,168.836585,11.252886,168.836585,11.252886,168.836585,11.252886,168.836585,11.252886,168.836585
0.036823,11.286930,169.859704,11.286930,169.859704,11.286930,169.859704,11.286930,169.859704,11.286930,169.859704,11.286930,169.859704
0.040333,11.324317,170.986868,11.324317,170.986868,11.324317,170.986868,11.324317,170.986868,11.324317,170.986868,11.324317,170.986868
0.043844,11.361953,172.125288,11.361953,172.125288,11.361953,172.125288,11.361953,172.125288,11.361953,172.125288,11.361953,172.125288
0.047354,11.399839,173.275117,11.399839,173.275117,11.399839,173.275117,11.399839,173.275117,11.399839,173.275117,11.399839,173.275117
0.050864,11.437980,174.436505,11.437980,174.436505,11.437980,174.436505,11.437980,174.436505,11.437980,174.436505,11.437980,174.436505
0.054444,11.477149,175.633254,11.477149,175.633254,11.477149,175.633254,11.477149,175.633254,11.477149,175.633254,11.477149,175.633254
0.058025,11.516587,176.842360,11.516587,176.842360,11.516587,176.842360,11.516587,176.842360,11.516587,176.842360,11.516587,176.842360
0.061605,11.556297,178.063996,11.556297,178.063996,11.556297,178.063996,11.556297,178.063996,11.556297,178.063996,11.556297,178.063996
0.065186,11.596282,179.298334,11.596282,179.298334,11.596282,179.298334,11.596282,179.298334,11.596282,179.298334,11.596282,179.298334
0.069057,11.639832,180.647583,11.639832,180.647583,11.639832,180.647583,11.639832,180.647583,11.639832,180.647583,11.639832,180.647583
0.072929,11.683710,182.012120,11.683710,182.012120,11.683710,182.012120,11.683710,182.012120,11.683710,182.012120,11.683710,182.012120
0.076801,11.727921,183.392175,11.727921,183.392175,11.727921,183.392175,11.727921,183.392175,11.727921,183.392175,11.727921,183.392175
0.080672,11.772467,184.787987,11.772467,184.787987,11.772467,184.787987,11.772467,184.787987,11.772467,184.787987,11.772467,184.787987
0.085707,11.830897,186.626831,11.830897,186.626831,11.830897,186.626831,11.830897,186.626831,11.830897,186.626831,11.830897,186.626831
0.090741,11.889909,188.493260,11.889909,188.493260,11.889909,188.493260,11.889909,188.493260,11.889909,188.493260,11.889909,188.493260
0.095775,11.949513,190.387829,11.949513,190.387829,11.949513,190.387829,11.949513,190.387829,11.949513,190.387829,11.949513,190.387829
0.100809,12.009718,192.311106,12.009718,192.311106,12.009718,192.311106,12.009718,192.311106,12.009718,192.311106,12.009718,192.311106
0.106955,12.084043,194.698807,12.084043,194.698807,12.084043,194.698807,12.084043,194.698807,12.084043,194.698807,12.084043,194.698807
0.113101,12.159294,197.131254,12.159294,197.131254,12.159294,197.131254,12.159294,197.131254,12.159294,197.131254,12.159294,197.131254
0.119246,12.235488,199.609571,12.235488,199.609571,12.235488,199.609571,12.235488,199.609571,12.235488,199.609571,12.235488,199.609571
0.125392,12.312644,202.134920,12.312644,202.134920,12.312644,202.134920,12.312644,202.134920,12.312644,202.134920,12.312644,202.134920
0.131642,12.392112,204.752589,12.392112,204.752589,12.392112,204.752589,12.392112,204.752589,12.392112,204.752589,12.392112,204.752589
0.137892,12.472613,207.421438,12.472613,207.421438,12.472613,207.421438,12.472613,207.421438,12.472613,207.421438,12.472613,207.421438
0.144142,12.554167,210.142809,12.554167,210.142809,12.554167,210.142809,12.554167,210.142809,12.554167,210.142809,12.554167,210.142809
0.150392,12.636794,212.918091,12.636794,212.918091,12.636794,212.918091,12.636794,212.918091,12.636794,212.918091,12.636794,212.918091
0.156642,12.720516,215.748716,12.720516,215.748716,12.720516,215.748716,12.720516,215.748716,12.720516,215.748716,12.720516,215.748716
0.162892,12.805355,218.636166,12.805355,218.636166,12.805355,218.636166,12.805355,218.636166,12.805355,218.636166,12.805355,218.636166
0.169142,12.891333,221.581972,12.891333,221.581972,12.891333,221.581972,12.891333,221.581972,12.891333,221.581972,12.891333,221.581972
0.175392,12.978474,224.587717,12.978474,224.587717,12.978474,224.587717,12.978474,224.587717,12.978474,224.587717,12.978474,224.587717
0.181642,13.066801,227.655039,13.066801,227.655039,13.066801,227.655039,13.066801,227.655039,13.066801,227.655039,13.066801,227.655039
0.187892,13.156338,230.785631,13.156338,230.785631,13.156338,230.785631,13.156338,230.785631,13.156338,230.785631,13.156338,230.785631
0.194142,13.247110,233.981245,13.247110,233.981245,13.247110,233.981245,13.247110,233.981245,13.247110,233.981245,13.247110,233.981245
0.200392,13.339144,237.243695,13.339144,237.243695,13.339144,237.243695,13.339144,237.243695,13.339144,237.243695,13.339144,237.243695
0.206642,13.432466,240.574856,13.432466,240.574856,13.432466,240.574856,13.432466,240.574856,13.432466,240.574856,13.432466,240.574856
0.212892,13.527103,243.976674,13.527103,243.976674,13.527103,243.976674,13.527103,243.976674,13.527103,243.976674,13.527103,243.976674
0.219142,13.623082,247.451159,13.623082,247.451159,13.623082,247.451159,13.623082,247.451159,13.623082,247.451159,13.623082,247.451159
0.225392,13.720434,251.000396,13.720434,251.000396,13.720434,251.000396,13.720434,251.000396,13.720434,251.000396,13.720434,251.000396
0.231642,13.819186,254.626546,13.819186,254.626546,13.819186,254.626546,13.819186,254.626546,13.819186,254.626546,13.819186,254.626546
0.237892,13.919371,258.331847,13.919371,258.331847,13.919371,258.331847,13.919371,258.331847,13.919371,258.331847,13.919371,258.331847
0.244142,14.021019,262.118619,14.021019,262.118619,14.021019,262.118619,14.021019,262.118619,14.021019,262.118619,14.021019,262.118619
0.250392,14.124162,265.989268,14.124162,265.989268,14.124162,265.989268,14.124162,265.989268,14.124162,265.989268,14.124162,265.989268
0.256642,14.228834,269.946290,14.228834,269.946290,14.228834,269.946290,14.228834,269.946290,14.228834,269.946290,14.228834,269.946290
0.262892,14.335069,273.992274,14.335069,273.992274,14.335069,273.992274,14.335069,273.992274,14.335069,273.992274,14.335069,273.992274
0.269142,14.442902,278.129907,14.442902,278.129907,14.442902,278.129907,14.442902,278.129907,14.442902,278.129907,14.442902,278.129907
0.275392,14.552370,282.361978,14.552370,282.361978,14.552370,282.361978,14.552370,282.361978,14.552370,282.361978,14.552370,282.361978
0.281642,14.663510,286.691382,14.663510,286.691382,14.663510,286.691382,14.663510,286.691382,14.663510,286.691382,14.663510,286.691382
0.287892,14.776361,291.121129,14.776361,291.121129,14.776361,291.121129,14.776361,291.121129,14.776361,291.121129,14.776361,291.121129
0.294142,14.890962,295.654342,14.890962,295.654342,14.890962,295.654342,14.890962,295.654342,14.890962,295.654342,14.890962,295.654342
0.300392,15.007355,300.294269,15.007355,300.294269,15.007355,300.294269,15.007355,300.294269,15.007355,300.294269,15.007355,300.294269
0.306642,15.125581,305.044286,15.125581,305.044286,15.125581,305.044286,15.125581,305.044286,15.125581,305.044286,15.125581,305.044286
0.312892,15.245686,309.907904,15.245686,309.907904,15.245686,309.907904,15.245686,309.907904,15.245686,309.907904,15.245686,309.907904
0.319142,15.367712,314.888774,15.367712,314.888774,15.367712,314.888774,15.367712,314.888774,15.367712,314.888774,15.367712,314.888774
0.325392,15.491708,319.990696,15.491708,319.990696,15.491708,319.990696,15.491708,319.990696,15.491708,319.990696,15.491708,319.990696
0.331642,15.617721,325.217624,15.617721,325.217624,15.617721,325.217624,15.617721,325.217624,15.617721,325.217624,15.617721,325.217624
0.337892,15.745801,330.573676,15.745801,330.573676,15.745801,330.573676,15.745801,330.573676,15.745801,330.573676,15.745801,330.573676
0.344142,15.875999,336.063140,15.875999,336.063140,15.875999,336.063140,15.875999,336.063140,15.875999,336.063140,15.875999,336.063140
0.350392,16.008369,341.690484,16.008369,341.690484,16.008369,341.690484,16.008369,341.690484,16.008369,341.690484,16.008369,341.690484
0.356642,16.142964,347.460365,16.142964,347.460365,16.142964,347.460365,16.142964,347.460365,16.142964,347.460365,16.142964,347.460365
0.362892,16.279841,353.377637,16.279841,353.377637,16.279841,353.377637,16.279841,353.377637,16.279841,353.377637,16.279841,353.377637
